t,current_joint_0,current_joint_1,current_joint_2,current_joint_3,current_joint_4,current_joint_5,nominal_err_0,nominal_err_1,nominal_err_2,nominal_err_3,nominal_err_4,nominal_err_5,rpy_err_0,rpy_err_1,rpy_err_2,setpoints_0,setpoints_1,setpoints_2,setpoints_3,setpoints_4,setpoints_5,vehicle_rpy_0,vehicle_rpy_1,vehicle_rpy_2,vehicle_xyz_0,vehicle_xyz_1,vehicle_xyz_2,wrench_sensor_0,wrench_sensor_1,wrench_sensor_2,wrench_sensor_3,wrench_sensor_4,wrench_sensor_5,xyz_err_0,xyz_err_1,xyz_err_2,zeta_0,zeta_1,zeta_2,zeta_3,zeta_4,zeta_5,zeta_6,zeta_7,zeta_8,zeta_9,zeta_10,zeta_11
1770912911.833679,0.518477,0.565189,0.426510,-0.549779,-0.109971,-0.234853,-0.000114,0.000298,-0.002395,-0.000000,0.000015,-0.000767,0.086324,0.009996,0.004040,-0.163683,0.157028,0.033142,0.032185,0.086096,-0.650513,-0.086324,-0.009996,0.495960,0.015906,0.015046,1.998566,17.313099,-14.754579,10.297133,0.507212,0.046737,-0.803059,-0.015906,-0.015046,0.001434,-0.042240,-0.011434,0.000873,0.000081,0.009253,0.008903,-0.000114,0.000297,-0.002392,-0.000000,0.000015,-0.000766
1770912941.933690,0.565379,0.659544,-0.012928,-0.455531,-0.596646,-0.359903,0.000108,0.000190,-0.002780,0.000000,-0.000256,-0.001380,0.091920,0.001073,0.003104,-0.164451,0.165212,-0.015675,-0.002317,0.080986,-0.649834,-0.091920,-0.001073,0.496896,0.010099,0.011027,1.998949,19.801486,-13.436223,7.352871,0.462646,0.291950,-0.743158,-0.010099,-0.011027,0.001051,-0.028239,-0.009807,0.000180,0.000007,0.000498,0.006273,0.000108,0.000190,-0.002777,0.000000,-0.000256,-0.001379
1770912972.033652,0.628269,0.141307,0.205786,-0.376991,-0.942348,-0.376802,0.000049,0.000065,-0.001582,0.000000,-0.000130,-0.000189,0.103969,-0.000035,0.004156,-0.173283,0.174569,-0.029999,0.021276,0.066457,-0.648097,-0.103969,0.000035,0.495844,0.003690,0.009525,1.996049,22.388011,-10.866960,5.359793,0.365488,0.470795,-0.597091,-0.003690,-0.009525,0.003951,-0.015540,-0.013570,0.002552,-0.000000,-0.000896,0.008255,0.000049,0.000065,-0.001581,0.000000,-0.000130,-0.000188
1770913036.333668,0.345567,-0.219872,-0.613334,0.282743,-0.518405,-0.329403,0.000008,-0.000040,0.000723,0.000000,0.000042,-0.000464,0.039521,-0.009992,-0.003621,-0.102532,0.117450,-0.028480,-0.049701,-0.235942,-0.600998,-0.039521,0.009992,0.503621,0.004539,-0.007972,2.001394,-7.985146,-1.907810,24.269103,0.054561,-1.589353,-0.096035,-0.004539,0.007972,-0.001394,-0.000242,0.018367,-0.000670,0.000072,-0.009689,-0.007623,0.000008,-0.000040,0.000723,0.000000,0.000042,-0.000463
1770913066.433659,0.502628,-0.314270,0.189704,-0.424115,-0.518284,-0.235057,0.000027,0.000111,-0.001208,-0.000000,-0.000078,-0.000563,0.075497,0.006110,0.009102,-0.149963,0.142015,-0.009197,0.049044,-0.208953,-0.610396,-0.075497,-0.006110,0.490898,-0.009192,0.004107,1.997870,11.914713,-0.461108,22.570099,0.022917,-0.830683,-0.043890,0.009192,-0.004107,0.002130,0.012341,-0.016005,0.000848,0.000111,0.004715,0.018595,0.000027,0.000111,-0.001207,-0.000000,-0.000078,-0.000562
1770913134.333692,-0.329859,-0.753902,-0.441079,0.125664,-0.486952,0.267226,-0.000008,-0.000080,0.001256,0.000000,0.000005,-0.000191,0.028409,-0.009990,-0.002143,-0.085734,0.102224,-0.028727,-0.047682,-0.341721,-0.548082,-0.028409,0.009990,0.502143,0.000245,-0.006061,2.000475,-15.309850,-6.746381,19.484865,0.220674,-1.568073,-0.372516,-0.000245,0.006061,-0.000475,0.005404,0.010857,-0.000113,0.000043,-0.009855,-0.004563,-0.000008,-0.000080,0.001255,0.000000,0.000005,-0.000191
1770913186.033635,0.675440,0.094269,-0.612471,-0.125664,-1.115263,0.361338,0.000003,-0.000021,-0.000140,-0.000000,-0.000002,-0.000055,0.081276,0.009983,0.005439,-0.151725,0.139833,-0.037200,0.069652,-0.273152,-0.584262,-0.081276,-0.009983,0.494561,-0.007675,0.007175,1.997743,13.388236,7.709596,19.617742,-0.260136,-0.609709,0.437328,0.007675,-0.007175,0.002257,0.006715,-0.020009,0.000565,0.000108,0.009058,0.011640,0.000003,-0.000021,-0.000140,-0.000000,-0.000002,-0.000055
1770913231.233679,-0.455521,-0.486991,0.534466,-0.204204,-0.031417,-0.408402,-0.000010,0.000044,-0.000395,-0.000000,0.000001,-0.000005,0.010645,0.009993,-0.005532,-0.084574,0.062821,0.067530,-0.036795,-0.188165,-0.618343,-0.010645,-0.009993,0.505532,0.008134,-0.011825,2.000257,2.060298,-0.689123,25.418616,0.026895,-1.317705,-0.044224,-0.008134,0.011825,-0.000257,-0.002780,0.028543,0.000075,-0.000110,0.010100,-0.010945,-0.000010,0.000044,-0.000394,-0.000000,0.000001,-0.000005
1770913261.333663,-0.549766,0.314188,-0.581420,-0.376991,-0.141387,0.470834,-0.000013,-0.000029,0.000225,-0.000000,0.000015,0.000405,0.012936,-0.000304,-0.000027,-0.078776,0.081629,0.051400,-0.055672,-0.193358,-0.615899,-0.012936,0.000304,0.500027,0.007507,-0.003315,2.003139,-3.488824,1.114743,25.166401,-0.040606,-1.499222,0.069182,-0.007507,0.003315,-0.003139,-0.009985,0.013043,-0.002970,0.000000,-0.000303,-0.000058,-0.000013,-0.000028,0.000225,-0.000000,0.000015,0.000405
1770913327.433651,0.094166,0.361083,0.190148,0.314159,-0.062848,0.487041,0.000082,0.000200,-0.001653,0.000000,0.000016,-0.000094,0.052435,0.009992,0.003230,-0.138353,0.126773,0.058320,-0.018200,0.160243,-0.665221,-0.052435,-0.009992,0.496770,0.000224,0.005758,1.999394,9.441763,11.438029,20.461879,-0.392997,-0.784611,0.623825,-0.000224,-0.005758,0.000606,-0.005871,-0.009922,0.000144,0.000064,0.009630,0.006968,0.000082,0.000200,-0.001651,0.000000,0.000016,-0.000094
1770913357.433656,-0.706943,-0.392916,0.537209,-0.361283,-1.005192,-0.706905,0.000085,0.000217,-0.003138,-0.000000,-0.000118,0.000047,-0.012180,0.005257,-0.024713,-0.003634,-0.037698,0.062292,-0.049459,0.187608,-0.673430,0.012180,-0.005257,0.524713,0.013330,-0.014258,1.994718,16.644682,-16.721571,10.480478,0.552105,-0.005911,-0.881683,-0.013330,0.014258,0.005282,-0.008752,0.038059,0.004859,-0.000259,0.004650,-0.049436,0.000085,0.000216,-0.003135,-0.000000,-0.000118,0.000047
1770913411.033695,-0.062832,-0.329869,-0.581206,0.109956,-1.193805,0.706852,0.000000,0.000002,0.000011,0.000000,0.000000,0.000007,0.033465,-0.009996,0.001105,-0.101049,0.116056,0.013991,-0.058769,-0.130822,-0.632491,-0.033465,0.009996,0.498895,0.000014,0.003770,2.000033,6.334508,3.528516,24.286365,-0.119723,-1.125695,0.201933,-0.000014,-0.003770,-0.000033,-0.003629,-0.006595,-0.000290,-0.000022,-0.010054,0.001873,0.000000,0.000002,0.000011,0.000000,0.000000,0.000007
1770913441.133687,0.502657,-0.078534,-0.565434,0.267035,-1.036723,0.219907,-0.000003,-0.000006,-0.000053,0.000000,-0.000003,0.000005,0.059466,-0.003543,0.006983,-0.132948,0.136884,-0.016512,-0.028096,-0.160026,-0.625162,-0.059466,0.003543,0.493017,-0.006860,0.008554,1.999846,10.826278,-0.231460,22.663082,0.007569,-0.877196,-0.004983,0.006860,-0.008554,0.000154,0.003983,-0.021515,-0.001113,-0.000049,-0.004362,0.013717,-0.000003,-0.000006,-0.000053,0.000000,-0.000003,0.000005
1770913513.233700,-0.110089,-0.001048,0.589676,-0.659734,-0.376330,0.446540,0.000134,0.001048,-0.008481,-0.000000,-0.000661,-0.006717,0.041135,0.009997,0.001734,-0.128994,0.116435,0.066615,-0.036821,0.236528,-0.687722,-0.041135,-0.009997,0.498266,0.001918,0.000566,2.000047,20.809630,1.257820,14.467700,-0.038437,-0.135532,0.046823,-0.001918,-0.000566,-0.000047,-0.003908,0.000837,0.000027,0.000035,0.009836,0.003873,0.000134,0.001047,-0.008473,-0.000000,-0.000661,-0.006710
1770913577.533675,0.596902,0.534081,-0.738011,0.015708,-0.722569,0.769784,0.000000,-0.000010,-0.000263,0.000000,0.000003,-0.000094,0.074671,-0.009989,-0.002438,-0.142424,0.153381,-0.044908,-0.034990,-0.124031,-0.633154,-0.074671,0.009989,0.502438,-0.002326,0.005009,1.999200,8.570295,10.365444,21.787033,-0.357166,-0.878932,0.570942,0.002326,-0.005009,0.000800,-0.000753,-0.011037,-0.000032,0.000049,-0.009588,-0.005601,0.000000,-0.000010,-0.000263,0.000000,0.000003,-0.000093
1770913653.033642,-0.282657,0.156869,0.411580,0.282743,-0.958056,-0.598108,-0.000086,0.000211,-0.003173,0.000000,-0.000129,0.001205,0.007700,0.009997,-0.000530,-0.084820,0.063845,0.071878,-0.045262,0.274822,-0.702049,-0.007700,-0.009997,0.500530,0.005798,-0.005878,2.000057,22.895459,-10.690460,0.939322,0.368088,0.694406,-0.588103,-0.005798,0.005878,-0.000057,-0.004527,0.015863,0.000111,-0.000011,0.009995,-0.000983,-0.000086,0.000210,-0.003170,0.000000,-0.000129,0.001204
1770913683.033673,-0.376856,0.564141,0.703206,-0.172788,-0.078524,0.316872,-0.000135,0.001346,-0.012056,-0.000000,-0.000016,-0.002713,0.008549,0.003075,0.000253,-0.079682,0.075065,0.062782,-0.056812,0.283462,-0.705120,-0.008549,-0.003075,0.499747,0.005558,-0.001365,2.002799,24.429154,4.065072,5.869891,-0.131241,0.529816,0.214876,-0.005558,0.001365,-0.002799,-0.008449,0.007740,-0.002704,0.000002,0.003068,0.000533,-0.000135,0.001345,-0.012044,-0.000000,-0.000016,-0.002710
1770913713.133687,-0.251304,0.439802,0.267195,-0.769690,-0.047125,-0.754197,-0.000024,0.000021,-0.000160,-0.000000,0.000001,0.000215,0.018404,-0.002290,0.004467,-0.092692,0.097735,0.055528,-0.063594,0.273327,-0.701930,-0.018404,0.002290,0.495533,0.003023,0.003243,1.996299,1.603963,-17.006625,18.721006,0.578618,-0.965258,-0.940276,-0.003023,-0.003243,0.003701,-0.008403,-0.002896,0.003625,-0.000020,-0.002452,0.008881,-0.000024,0.000021,-0.000160,-0.000000,0.000001,0.000215
1770913743.233667,-0.518361,0.659741,0.031486,0.094248,-1.555088,0.471282,-0.000001,-0.000007,-0.000070,0.000000,-0.000001,-0.000043,-0.005662,-0.001063,-0.010807,-0.035300,0.041358,0.054952,-0.059030,0.269174,-0.699337,0.005662,0.001063,0.510807,0.005023,-0.005752,2.004973,16.966338,10.491617,-15.950315,-0.351013,1.454569,0.566831,-0.005023,0.005752,-0.004973,-0.003130,0.014904,-0.005056,0.000023,-0.001184,-0.021587,-0.000001,-0.000007,-0.000070,0.000000,-0.000001,-0.000043
1770913773.333662,0.565584,-0.141558,0.238058,0.612611,-0.879335,-0.488353,-0.000097,0.000187,-0.002438,0.000000,-0.000311,0.001406,0.075489,-0.008806,0.033550,-0.155935,0.165636,0.038322,-0.067738,0.208730,-0.679618,-0.075489,0.008806,0.466450,-0.007297,0.021785,1.983943,20.043841,-6.710992,14.774197,0.230942,-0.118272,-0.370099,0.007297,-0.021785,0.016057,-0.006695,-0.046510,0.012511,-0.000590,-0.013827,0.066177,-0.000097,0.000186,-0.002436,0.000000,-0.000310,0.001404
1770913855.633657,-0.157074,-0.329851,-0.298565,-0.518363,-0.047129,0.329592,-0.000005,-0.000016,0.000114,-0.000000,0.000005,0.000275,0.029722,-0.009984,-0.001801,-0.093108,0.107768,-0.010504,-0.053237,-0.240472,-0.599501,-0.029722,0.009984,0.501801,-0.003857,-0.003414,2.000142,-13.808859,4.057496,21.122268,-0.135074,-1.617588,0.211036,0.003857,0.003414,-0.000142,0.010038,0.002273,0.000025,0.000036,-0.009863,-0.003894,-0.000005,-0.000016,0.000114,-0.000000,0.000005,0.000275
1770913885.633702,0.486943,0.392692,-0.643888,-0.361283,-0.518350,0.094348,0.000004,0.000007,-0.000139,0.000000,-0.000012,-0.000100,0.067335,0.003286,0.009438,-0.141594,0.136091,-0.018512,0.043258,-0.227737,-0.603362,-0.067335,-0.003286,0.490562,-0.012918,0.007600,2.000941,7.909694,3.706879,23.689964,-0.126694,-1.026740,0.207918,0.012918,-0.007600,-0.000941,0.015608,-0.025429,-0.002708,0.000062,0.002006,0.019035,0.000004,0.000007,-0.000139,0.000000,-0.000012,-0.000100
1770913949.433680,0.738336,0.046951,0.568023,0.235619,-1.476516,0.518770,-0.000061,0.000173,-0.002536,0.000000,-0.000032,-0.000408,0.106026,0.009995,0.005183,-0.178895,0.169525,0.016405,0.054729,-0.056808,-0.641849,-0.106026,-0.009995,0.494817,-0.004571,0.008429,1.997496,15.393225,15.165254,-14.054572,-0.508891,1.274960,0.808366,0.004571,-0.008429,0.002504,0.000065,-0.019315,0.000460,0.000103,0.008833,0.011353,-0.000061,0.000173,-0.002533,0.000000,-0.000032,-0.000407
1770913983.733664,-0.486950,-0.408410,-0.345624,0.329867,-1.068146,-0.329844,0.000003,0.000003,0.000049,0.000000,0.000004,-0.000023,0.004765,-0.009982,-0.029238,-0.037468,0.072537,0.026490,-0.067523,-0.166013,-0.626901,-0.004765,0.009982,0.529238,0.019930,-0.018939,1.990068,5.589772,-7.420949,23.430902,0.267809,-1.081784,-0.442089,-0.019930,0.018939,0.009932,-0.015366,0.052721,0.010020,0.000583,-0.009694,-0.058462,0.000003,0.000003,0.000049,0.000000,0.000004,-0.000023
1770914013.733663,-0.738234,-0.486970,0.314785,0.282743,-1.445111,-0.549958,-0.000040,0.000023,-0.000626,-0.000000,-0.000022,0.000180,-0.026178,0.007477,-0.013124,0.049416,-0.070604,0.078185,-0.059748,-0.101194,-0.637526,0.026178,-0.007477,0.513124,0.009844,-0.022960,2.001810,20.295702,-14.214854,6.225845,0.480298,0.326932,-0.777053,-0.009844,0.022960,-0.001810,0.005371,0.049555,-0.003147,-0.000196,0.006780,-0.026408,-0.000040,0.000023,-0.000625,-0.000000,-0.000022,0.000179
1770914096.733676,-0.157245,-0.016256,0.728934,-0.424115,-1.287824,-0.078027,0.000166,0.000549,-0.006368,-0.000000,-0.000229,-0.000512,0.041477,0.009992,0.002371,-0.131800,0.120017,0.069939,-0.043873,0.289960,-0.707912,-0.041477,-0.009992,0.497629,0.002491,0.005342,1.999845,22.033175,-7.895844,-9.961864,0.269942,1.291449,-0.429198,-0.002491,-0.005342,0.000155,-0.009467,-0.007007,-0.000041,0.000047,0.009777,0.005148,0.000165,0.000548,-0.006362,-0.000000,-0.000229,-0.000512
1770914175.733682,-0.062834,0.015740,-0.455918,0.078540,-0.329861,0.596932,0.000002,-0.000032,0.000387,0.000000,-0.000006,-0.000029,0.035569,-0.009988,-0.001809,-0.103618,0.117624,0.013391,-0.057254,-0.111373,-0.636173,-0.035569,0.009988,0.501809,-0.001581,-0.000952,1.999878,-2.474857,-1.613754,25.264429,0.050176,-1.470695,-0.088988,0.001581,0.000952,0.000122,0.003682,0.000142,0.000164,0.000036,-0.009843,-0.003967,0.000002,-0.000032,0.000386,0.000000,-0.000006,-0.000029
1770914214.033660,0.219897,-0.345432,-0.142686,0.000000,-0.109941,-0.785057,0.000014,-0.000143,0.001314,-0.000000,-0.000015,-0.000341,0.040737,-0.009991,-0.000756,-0.107152,0.120835,-0.025479,-0.049700,-0.202860,-0.613374,-0.040737,0.009991,0.500756,-0.002675,0.000194,1.999241,-5.843396,7.330951,23.890331,-0.251496,-1.496393,0.402176,0.002675,-0.000194,0.000759,0.004495,-0.002936,0.000684,0.000015,-0.009912,-0.001916,0.000014,-0.000143,0.001313,-0.000000,-0.000015,-0.000341
