t,current_joint_0,current_joint_1,current_joint_2,current_joint_3,current_joint_4,current_joint_5,nominal_err_0,nominal_err_1,nominal_err_2,nominal_err_3,nominal_err_4,nominal_err_5,rpy_err_0,rpy_err_1,rpy_err_2,setpoints_0,setpoints_1,setpoints_2,setpoints_3,setpoints_4,setpoints_5,vehicle_rpy_0,vehicle_rpy_1,vehicle_rpy_2,vehicle_xyz_0,vehicle_xyz_1,vehicle_xyz_2,wrench_sensor_0,wrench_sensor_1,wrench_sensor_2,wrench_sensor_3,wrench_sensor_4,wrench_sensor_5,xyz_err_0,xyz_err_1,xyz_err_2,zeta_0,zeta_1,zeta_2,zeta_3,zeta_4,zeta_5,zeta_6,zeta_7,zeta_8,zeta_9,zeta_10,zeta_11
1770914244.033671,-0.251320,0.219931,-0.408571,-0.565487,-0.204215,0.093992,-0.000007,-0.000019,0.000164,-0.000000,0.000011,0.000256,0.026229,0.005002,-0.004081,-0.102837,0.092829,0.053744,-0.030496,-0.167469,-0.623414,-0.026229,-0.005002,0.504081,-0.003888,-0.007031,2.002971,1.164995,3.093124,25.137546,-0.105303,-1.327145,0.172517,0.003888,0.007031,-0.002971,0.013572,0.008626,-0.002810,-0.000041,0.005209,-0.008019,-0.000007,-0.000019,0.000164,-0.000000,0.000011,0.000255
1770914301.933654,-0.109924,0.643993,-0.360412,0.235619,-0.643988,-0.220321,-0.000032,0.000034,-0.000871,0.000000,-0.000039,0.000410,0.028329,0.009998,0.001321,-0.112446,0.097450,0.065146,-0.033116,0.159219,-0.665299,-0.028329,-0.009998,0.498679,0.000552,-0.000710,1.999658,20.130536,-2.285556,15.098610,0.076068,-0.145569,-0.126425,-0.000552,0.000710,0.000342,-0.000286,0.001763,0.000395,0.000026,0.009909,0.002921,-0.000032,0.000034,-0.000870,0.000000,-0.000039,0.000409
1770914332.033627,-0.282746,0.015702,-0.204126,-0.345575,-0.392698,-0.675404,0.000002,0.000006,-0.000078,-0.000000,-0.000001,-0.000039,0.022807,-0.005077,-0.001865,-0.091695,0.101861,0.040939,-0.060364,0.116458,-0.657089,-0.022807,0.005077,0.501865,0.006232,0.000678,1.995917,5.447709,-1.637222,24.587487,0.049540,-1.163813,-0.096958,-0.006232,-0.000678,0.004083,-0.011589,0.004710,0.004129,0.000019,-0.004986,-0.003840,0.000002,0.000006,-0.000078,-0.000000,-0.000001,-0.000039
1770914362.033685,0.377026,-0.455552,0.126100,0.706858,-1.115190,-0.204384,-0.000035,0.000021,-0.000437,0.000000,-0.000075,0.000181,0.047204,-0.001695,0.007760,-0.125497,0.127916,0.039822,-0.046895,0.097968,-0.653290,-0.047204,0.001695,0.492240,-0.002154,0.006793,1.998209,17.521275,-8.149624,16.409199,0.269561,-0.302561,-0.430261,0.002154,-0.006793,0.001791,-0.002624,-0.014063,0.001123,-0.000026,-0.002423,0.015408,-0.000035,0.000021,-0.000436,0.000000,-0.000075,0.000181
1770914392.133686,-0.235645,0.675471,-0.502188,-0.345575,-0.895310,-0.612566,0.000026,-0.000029,-0.000467,-0.000000,-0.000044,-0.000044,0.028357,0.008891,-0.005323,-0.111451,0.096710,0.063579,-0.031208,0.172894,-0.667585,-0.028357,-0.008891,0.505323,-0.001385,-0.003953,2.007073,17.909206,-13.733871,12.285896,0.457212,-0.051871,-0.738688,0.001385,0.003953,-0.007073,0.006183,0.005771,-0.006960,-0.000094,0.009180,-0.010378,0.000026,-0.000029,-0.000467,-0.000000,-0.000044,-0.000044
1770914422.233661,-0.345693,-0.330153,0.411640,-0.722566,-0.894937,0.205738,0.000118,0.000286,-0.003233,-0.000000,-0.000417,-0.001534,0.030792,0.004310,0.001056,-0.112407,0.106106,0.059136,-0.046050,0.196565,-0.676050,-0.030792,-0.004310,0.498944,0.001382,-0.000109,1.994182,21.554182,3.367103,14.409431,-0.126970,-0.073604,0.195289,-0.001382,0.000109,0.005818,-0.002296,0.001333,0.005865,0.000009,0.004239,0.002241,0.000117,0.000285,-0.003230,-0.000000,-0.000417,-0.001533
1770914464.233655,-0.581197,-0.188487,-0.691125,-0.157080,-1.507964,-0.502673,0.000002,-0.000009,-0.000025,0.000000,-0.000001,0.000018,0.009103,-0.009999,-0.003990,-0.063228,0.085556,0.037768,-0.068910,0.067350,-0.649499,-0.009103,0.009999,0.503990,0.005513,-0.003908,2.000311,14.426804,-4.741141,20.458363,0.159675,-0.631196,-0.236697,-0.005513,0.003908,-0.000311,-0.005872,0.012159,-0.000259,0.000080,-0.009916,-0.008063,0.000002,-0.000009,-0.000025,0.000000,-0.000001,0.000018
1770914525.933694,-0.345664,0.596832,0.299854,-0.518363,-1.303652,0.723270,0.000089,0.000070,-0.001403,-0.000000,-0.000109,-0.000704,0.027454,0.009985,0.001933,-0.114113,0.099173,0.069214,-0.040056,0.250930,-0.693192,-0.027454,-0.009985,0.498067,-0.000476,0.001585,1.997948,21.174934,5.476142,-13.397944,-0.206193,1.420333,0.338490,0.000476,-0.001585,0.002052,-0.000656,-0.003292,0.001966,0.000039,0.009866,0.004135,0.000089,0.000070,-0.001402,-0.000000,-0.000109,-0.000703
1770914556.033685,-0.408415,-0.110025,0.314815,0.518363,-0.157094,0.769355,0.000008,0.000069,-0.000656,0.000000,0.000015,0.000335,0.011463,-0.007655,-0.006924,-0.070703,0.089129,0.040350,-0.067628,0.219147,-0.683814,-0.011463,0.007655,0.506924,0.008535,-0.000234,1.989467,4.125014,7.372166,24.201533,-0.255976,-1.177000,0.411081,-0.008535,0.000234,0.010533,-0.014762,0.008569,0.010509,0.000106,-0.007488,-0.013920,0.000008,0.000069,-0.000655,0.000000,0.000015,0.000335
1770914586.033699,0.345592,-0.392697,-0.094149,0.628319,-1.492239,-0.172797,-0.000017,-0.000002,-0.000099,0.000000,-0.000017,0.000010,0.045048,-0.007140,0.012008,-0.122371,0.131895,0.037771,-0.062036,0.178816,-0.670073,-0.045048,0.007140,0.487992,-0.001962,0.009089,1.999857,20.012928,-9.652778,11.760845,0.326692,0.058082,-0.519833,0.001962,-0.009089,0.000143,-0.005053,-0.017866,-0.000699,-0.000171,-0.008206,0.023646,-0.000017,-0.000002,-0.000099,0.000000,-0.000017,0.000010
1770914632.533695,0.062949,0.565316,0.301373,0.502655,-0.910760,0.219061,-0.000117,0.000171,-0.002922,-0.000000,-0.000302,0.000851,0.040039,0.009984,0.001173,-0.129684,0.115639,0.069482,-0.037183,0.265533,-0.697637,-0.040039,-0.009984,0.498827,-0.002844,0.000878,1.999669,19.886295,14.986457,-3.497583,-0.507700,0.877793,0.820556,0.002844,-0.000878,0.000331,0.004154,-0.004267,0.000118,0.000023,0.009873,0.002741,-0.000117,0.000171,-0.002919,-0.000000,-0.000302,0.000850
1770914731.933670,0.738308,-0.675408,0.077921,-0.722566,-0.816945,-0.612876,-0.000034,-0.000034,0.000618,-0.000000,0.000131,0.000265,0.069889,-0.009982,-0.003372,-0.128949,0.139654,-0.064352,0.035584,-0.298170,-0.572364,-0.069889,0.009982,0.503372,-0.006837,-0.000915,1.999393,13.078457,2.126204,21.621431,-0.089709,-0.724861,0.136731,0.006837,0.000915,0.000607,0.012840,-0.005027,0.000385,0.000067,-0.009478,-0.007416,-0.000034,-0.000034,0.000618,-0.000000,0.000131,0.000265
1770914827.533654,-0.439908,-0.346456,0.779779,-0.109956,-0.848186,0.283836,0.000085,0.000881,-0.010089,0.000000,-0.000044,-0.001093,0.005563,0.009994,0.000049,-0.080703,0.059585,0.070913,-0.045458,0.244687,-0.690779,-0.005563,-0.009994,0.499951,0.006869,-0.002347,2.000194,23.954349,5.660652,7.523372,-0.198834,0.412945,0.321360,-0.006869,0.002347,-0.000194,-0.009799,0.010695,-0.000036,0.000001,0.009984,0.000154,0.000085,0.000880,-0.010079,0.000000,-0.000044,-0.001092
1770914897.133673,-0.157076,-0.439826,-0.612624,-0.628319,-1.492259,-0.769681,-0.000003,0.000003,0.000014,-0.000000,0.000003,-0.000009,0.048194,-0.009983,-0.001388,-0.116764,0.129817,-0.029334,-0.048558,-0.154049,-0.626966,-0.048194,0.009983,0.501388,-0.002889,0.004436,1.999789,17.946500,2.753484,18.157537,-0.081735,-0.390723,0.136479,0.002889,-0.004436,0.000211,0.000800,-0.010545,-0.000289,0.000028,-0.009828,-0.003251,-0.000003,0.000003,0.000014,-0.000000,0.000003,-0.000009
1770914945.633652,0.172656,-0.314318,0.442075,-0.706858,-1.256356,-0.219645,0.000132,0.000159,-0.002252,-0.000000,-0.000281,-0.000267,0.077808,0.009993,0.005517,-0.160348,0.149236,0.048778,0.032571,0.117772,-0.655682,-0.077808,-0.009993,0.494483,-0.007132,0.006090,1.998303,24.110991,-6.895493,3.975926,0.232974,0.621329,-0.365218,0.007132,-0.006090,0.001697,0.006784,-0.017547,0.000264,0.000110,0.009096,0.011765,0.000132,0.000159,-0.002250,-0.000000,-0.000281,-0.000266
1770914975.633683,-0.094245,-0.376986,-0.439802,0.235619,-1.445132,-0.534086,-0.000002,-0.000005,-0.000021,0.000000,-0.000001,0.000015,0.023762,-0.006467,-0.018872,-0.087153,0.099903,0.028836,-0.056714,0.024027,-0.646986,-0.023762,0.006467,0.518872,0.011064,-0.009815,1.997894,10.652161,-11.273823,20.254976,0.363358,-0.731996,-0.595256,-0.011064,0.009815,0.002106,-0.009485,0.027934,0.002707,0.000244,-0.005563,-0.037849,-0.000002,-0.000005,-0.000021,0.000000,-0.000001,0.000015
1770915005.633693,0.502653,0.125657,-0.408242,-0.204204,-0.596898,-0.408374,0.000002,0.000007,-0.000165,-0.000000,-0.000004,-0.000033,0.069560,-0.006807,0.010969,-0.141067,0.148919,-0.029209,-0.037735,-0.127365,-0.632163,-0.069560,0.006807,0.489031,-0.002363,0.007945,2.001562,9.162381,-0.941136,23.691878,0.045774,-0.965871,-0.067589,0.002363,-0.007945,-0.001562,-0.003278,-0.016083,-0.002707,-0.000149,-0.008307,0.021390,0.000002,0.000007,-0.000165,-0.000000,-0.000004,-0.000033
1770915035.733654,-0.785406,-0.219872,0.031062,0.769690,-0.329906,0.000418,0.000008,-0.000039,0.000354,0.000000,0.000039,-0.000418,-0.008552,-0.005750,-0.023206,0.021679,0.038830,0.050551,-0.067328,-0.168345,-0.624410,0.008552,0.005750,0.523206,0.011535,-0.018821,1.995947,5.220995,-3.546077,24.324598,0.121119,-1.187233,-0.194796,-0.011535,0.018821,0.004053,-0.001198,0.044123,0.003665,0.000266,-0.006141,-0.046314,0.000008,-0.000039,0.000354,0.000000,0.000039,-0.000418
1770915106.133693,0.282617,0.329225,0.367432,-0.298451,-0.298388,-0.311618,0.000126,0.000643,-0.006149,-0.000000,-0.000063,-0.002542,0.070628,0.009999,0.004272,-0.156406,0.145902,0.057138,-0.009465,0.189954,-0.672801,-0.070628,-0.009999,0.495728,-0.001794,0.006573,1.998429,19.432492,-9.854492,12.786606,0.339478,-0.056539,-0.558988,0.001794,-0.006573,0.001571,-0.003079,-0.013337,0.000661,0.000085,0.009362,0.009218,0.000126,0.000642,-0.006143,-0.000000,-0.000063,-0.002539
1770915136.233653,-0.267185,0.690747,0.160290,0.204204,-0.015695,0.488022,0.000150,0.000403,-0.003210,0.000000,-0.000013,-0.001076,0.021631,0.005401,-0.018357,-0.097752,0.089552,0.057406,-0.041949,0.219350,-0.682022,-0.021631,-0.005401,0.518357,0.009452,-0.009465,2.002225,14.998160,12.898510,16.304259,-0.431921,-0.398084,0.691322,-0.009452,0.009465,-0.002225,-0.007047,0.025824,-0.001627,-0.000198,0.006188,-0.036551,0.000150,0.000403,-0.003207,0.000000,-0.000013,-0.001074
1770915166.233655,0.769724,0.722570,0.141745,0.361283,-1.366564,0.282798,-0.000034,-0.000004,-0.000373,0.000000,-0.000029,-0.000054,0.092873,-0.006386,0.024093,-0.167345,0.174099,0.015460,-0.050450,0.151666,-0.661914,-0.092873,0.006386,0.475907,-0.002847,0.017548,1.998785,15.616721,13.531387,-14.766668,-0.454077,1.339260,0.736074,0.002847,-0.017548,0.001215,-0.011015,-0.033731,-0.001994,-0.000307,-0.010816,0.047337,-0.000034,-0.000004,-0.000373,0.000000,-0.000029,-0.000054
1770915202.133769,0.628369,0.706768,-0.376123,0.251327,-0.251305,-0.157764,-0.000051,0.000090,-0.000869,-0.000000,-0.000022,0.000685,0.077359,-0.009983,-0.004841,-0.146081,0.157540,-0.041983,-0.041431,-0.028528,-0.645488,-0.077359,0.009983,0.504841,0.001105,0.004313,1.996168,14.719284,1.506747,20.938712,-0.054816,-0.631074,0.080880,-0.001105,-0.004313,0.003832,-0.006139,-0.006745,0.003256,0.000096,-0.009196,-0.010413,-0.000051,0.000090,-0.000868,-0.000000,-0.000022,0.000684
1770915232.233659,0.628330,0.533964,0.410604,-0.125664,-1.005304,-0.675878,-0.000011,0.000106,-0.002197,-0.000000,-0.000006,0.000436,0.098173,0.005744,0.007257,-0.173978,0.167570,0.029843,0.036024,0.103433,-0.651989,-0.098173,-0.005744,0.492743,-0.008503,0.005681,2.003035,16.793229,-15.484319,-11.554600,0.503312,1.198032,-0.832231,0.008503,-0.005681,-0.003035,0.009580,-0.017648,-0.004840,0.000083,0.004289,0.014991,-0.000011,0.000106,-0.002195,-0.000000,-0.000006,0.000435
1770915274.233650,-0.078540,0.093912,0.458639,-0.502655,-0.204212,-0.595202,0.000000,0.000336,-0.003108,-0.000000,0.000009,-0.001700,0.037115,0.009990,-0.008406,-0.121993,0.107625,0.065333,-0.031138,0.222008,-0.683747,-0.037115,-0.009990,0.508406,0.005728,-0.011713,1.999232,10.522492,-14.283344,18.937449,0.485943,-0.658386,-0.766878,-0.005728,0.011713,0.000768,0.001403,0.025968,0.001718,-0.000168,0.010596,-0.016412,0.000000,0.000336,-0.003105,-0.000000,0.000008,-0.001698
1770915304.233683,-0.031497,0.345528,0.142793,-0.644026,-1.005057,-0.628039,0.000081,0.000047,-0.001422,-0.000000,-0.000253,-0.000279,0.054727,0.007903,0.008306,-0.143313,0.134346,0.066694,-0.044259,0.252219,-0.692569,-0.054727,-0.007903,0.491694,0.001356,-0.000197,2.002780,16.456153,-19.537877,2.967622,0.664005,0.382614,-1.069175,-0.001356,0.000197,-0.002780,-0.002224,0.001775,-0.002667,0.000131,0.006975,0.017001,0.000081,0.000047,-0.001420,-0.000000,-0.000252,-0.000279
1770915334.333626,-0.125692,0.581217,-0.690954,-0.769690,-1.366547,0.345684,0.000028,-0.000022,-0.000196,-0.000000,-0.000046,-0.000109,0.053935,-0.008281,-0.000557,-0.130210,0.140697,0.031551,-0.061941,0.208951,-0.678802,-0.053935,0.008281,0.500557,0.005430,0.002340,1.998743,22.267940,11.051187,5.950857,-0.379443,0.413824,0.600616,-0.005430,-0.002340,0.001257,-0.011772,0.001040,0.001216,0.000009,-0.008201,-0.001558,0.000028,-0.000022,-0.000196,-0.000000,-0.000046,-0.000109
1770915374.833651,-0.455519,0.078547,-0.486816,0.769690,-1.240897,-0.722682,-0.000012,-0.000007,-0.000131,0.000000,-0.000032,0.000116,-0.012364,-0.009996,-0.013214,0.046017,0.035961,0.045208,-0.073855,0.107013,-0.655453,0.012364,0.009996,0.513214,0.010505,-0.015134,1.998262,10.098935,-18.904123,14.356716,0.636323,-0.438019,-1.016867,-0.010505,0.015134,0.001738,-0.003456,0.036666,0.001249,0.000264,-0.010312,-0.026276,-0.000012,-0.000007,-0.000131,0.000000,-0.000032,0.000116
1770915404.833729,-0.172785,-0.612608,-0.157060,0.267035,-1.492255,-0.345581,-0.000003,-0.000002,-0.000020,-0.000000,-0.000001,0.000005,0.018861,-0.007503,0.008745,-0.086073,0.098718,0.043096,-0.064760,-0.056363,-0.643877,-0.018861,0.007503,0.491255,-0.001445,0.000565,1.997391,14.102628,-9.678682,18.455774,0.330623,-0.536439,-0.529791,0.001445,-0.000565,0.002609,0.001993,-0.002406,0.002576,-0.000131,-0.007824,0.017328,-0.000003,-0.000002,-0.000020,-0.000000,-0.000001,0.000005
1770915477.133696,-0.361246,-0.000162,0.536665,0.125664,-1.256623,-0.408889,-0.000038,0.000162,-0.002595,-0.000000,-0.000014,0.000482,0.002817,0.009988,-0.000068,-0.076973,0.052684,0.071403,-0.044153,0.279818,-0.704182,-0.002817,-0.009988,0.500068,0.002481,-0.000935,1.999559,23.504614,-8.164283,-5.554950,0.274173,1.114496,-0.452844,-0.002481,0.000935,0.000441,-0.003450,0.004016,0.000486,-0.000001,0.009978,-0.000109,-0.000038,0.000162,-0.002592,-0.000000,-0.000014,0.000481
1770915507.233701,-0.439693,0.297840,0.729928,0.486947,-1.099182,0.533613,-0.000130,0.000611,-0.007362,0.000000,-0.000375,0.000458,-0.010334,0.003454,-0.006335,-0.026450,-0.014306,0.061814,-0.054012,0.288981,-0.707327,0.010334,-0.003454,0.506335,0.005934,-0.002991,2.002992,12.556622,18.899913,-11.170887,-0.647365,1.046620,1.037413,-0.005934,0.002991,-0.002992,-0.007481,0.010946,-0.003076,-0.000044,0.003320,-0.012692,-0.000129,0.000611,-0.007355,0.000000,-0.000375,0.000457
